ID,Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Influence,Creativity,Threat,ICT Index,BPS,Chance Of Playing,News,Days Since News Added,Selected By Percent,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Direct_Freekick_or_Penalty,Indirect_Freekick_or_Corner,Clean Sheet Adder,Goal Scored Adder,Assists Adder,Penalty Missed Adder,Penalties Saved Adder,3_Shot Save Adder,2_Goals Conceded Adder,Yellow Card Adder,Red Card Adder,Own Goal Adder,EP Next,Goal Contributions,Goals per 90,Assists per 90,Threat per 90
398,Gordon,Midfielder,Newcastle,7.3,31,3.9,2,4.0,146.0,271.7,204.0,62.2,128,100,No news,,10.0,683,2,0,2,7,0.92,0,0,1,0,0,0,5,1,1,1,5,3,-2,5,0,0,-1,-3,-2,3.5,2,0.2635431918008785,0.0,26.881405563689604
235,Pickford,Goalkeeper,Everton,4.8,31,3.9,6,7.7,198.6,0.1,0.0,19.8,89,100,No news,,9.5,720,0,0,2,15,1.88,0,1,0,1,0,22,3,0,0,4,10,3,-2,5,7,-7,-1,-3,-2,7.7,0,0.0,0.0,0.0
239,Adama,Midfielder,Fulham,5.1,30,3.8,2,2.3,134.2,176.4,175.0,48.6,127,100,No news,,3.8,623,1,2,2,9,1.3,0,0,0,2,0,0,3,0,0,1,5,3,-2,5,0,0,-1,-3,-2,2.3,3,0.14446227929373998,0.28892455858747995,25.280898876404493
422,Aina,Defender,Nottm Forest,4.5,30,3.8,6,3.3,125.4,75.1,8.0,20.9,128,100,No news,68.0,6.5,683,0,0,3,5,0.66,0,0,0,1,0,0,5,0,0,4,6,3,-2,5,0,-2,-1,-3,-2,3.3,0,0.0,0.0,1.054172767203514
372,Garnacho,Midfielder,Man Utd,6.2,30,3.8,10,5.0,144.0,113.3,241.0,49.8,99,100,No news,17.0,8.3,499,2,1,2,8,1.44,0,0,0,1,0,0,3,0,0,1,5,3,-2,5,0,0,-1,-3,-2,5.0,3,0.36072144288577157,0.18036072144288579,43.46693386773547
295,Justin,Defender,Leicester,4.6,30,3.8,1,7.7,207.8,60.1,70.0,33.8,120,100,No news,,4.5,720,2,1,1,14,1.75,0,0,0,1,0,0,2,0,0,4,6,3,-2,5,0,-7,-1,-3,-2,7.7,3,0.25,0.125,8.75
335,Robertson,Defender,Liverpool,6.0,30,3.8,2,1.7,90.0,170.2,68.0,32.8,144,100,No news,,6.0,603,0,0,4,3,0.45,0,0,0,1,0,0,0,0,1,4,6,3,-2,5,0,-1,-1,-3,-2,1.7,0,0.0,0.0,10.149253731343283
498,Romero,Defender,Spurs,5.1,30,3.8,2,3.0,197.6,58.8,126.0,38.4,145,100,No news,,10.3,720,1,0,2,9,1.12,0,0,0,0,0,0,2,0,0,4,6,3,-2,5,0,-4,-1,-3,-2,3.5,1,0.125,0.0,15.75
57,Tielemans,Midfielder,Aston Villa,5.5,30,3.8,8,4.3,187.4,265.6,29.0,48.2,174,100,No news,,1.5,713,0,3,1,10,1.26,0,0,0,1,0,0,5,0,1,1,5,3,-2,5,0,0,-1,-3,-2,4.3,3,0.0,0.37868162692847124,3.6605890603085554
306,Vardy,Forward,Leicester,5.7,30,3.8,6,3.0,118.2,42.3,128.0,28.6,109,100,No news,73.0,11.1,663,3,0,1,14,1.9,0,0,0,3,0,0,5,1,0,0,4,3,-2,5,0,0,-1,-3,-2,3.0,3,0.4072398190045249,0.0,17.37556561085973
220,Calvert-Lewin,Forward,Everton,6.0,29,3.6,2,1.7,120.2,35.2,271.0,42.5,71,100,No news,36.0,5.9,683,2,1,2,11,1.45,0,0,0,1,0,0,3,1,0,0,4,3,-2,5,0,0,-1,-3,-2,1.7,3,0.2635431918008785,0.13177159590043924,35.710102489019036
247,Iwobi,Midfielder,Fulham,5.5,29,3.6,2,2.3,158.4,212.0,147.0,51.7,144,100,No news,,1.1,677,1,1,2,9,1.2,0,0,0,0,0,0,3,0,0,1,5,3,-2,5,0,0,-1,-3,-2,2.3,2,0.1329394387001477,0.1329394387001477,19.542097488921712
228,Keane,Defender,Everton,4.2,29,4.1,14,6.7,185.8,12.0,61.0,26.0,77,100,No news,35.0,8.5,630,2,0,2,14,2.0,0,0,0,3,0,0,3,0,0,4,6,3,-2,5,0,-7,-1,-3,-2,6.7,2,0.2857142857142857,0.0,8.714285714285714
436,Murillo,Defender,Nottm Forest,4.5,29,3.6,8,3.7,170.2,54.0,32.0,25.8,130,100,No news,,0.8,720,0,0,3,6,0.75,0,0,0,1,0,0,3,0,0,4,6,3,-2,5,0,-3,-1,-3,-2,3.7,0,0.0,0.0,4.0
110,Wissa,Forward,Brentford,5.9,29,5.8,1,0.3,130.2,58.6,152.0,34.1,122,100,No news,40.0,2.4,314,3,1,0,6,1.72,0,0,0,1,0,0,7,1,0,0,4,3,-2,5,0,0,-1,-3,-2,0.3,4,0.8598726114649682,0.28662420382165604,43.56687898089172
36,Digne,Defender,Aston Villa,4.6,28,3.5,4,4.0,144.0,122.9,30.0,29.7,118,100,No news,,8.1,608,0,3,1,9,1.33,0,0,0,2,0,0,4,1,1,4,6,3,-2,5,0,-4,-1,-3,-2,4.0,3,0.0,0.4440789473684211,4.440789473684211
38,Duran,Forward,Aston Villa,6.2,28,3.5,1,1.0,142.6,22.0,118.0,28.4,122,100,No news,,5.8,199,4,0,0,4,1.81,0,0,0,1,0,0,5,0,0,0,4,3,-2,5,0,0,-1,-3,-2,1.0,4,1.809045226130653,0.0,53.36683417085427
47,Martinez,Goalkeeper,Aston Villa,5.0,28,3.5,8,6.3,190.8,0.0,0.0,19.1,105,100,No news,,13.6,720,0,0,1,10,1.25,0,1,0,1,0,20,2,0,0,4,10,3,-2,5,6,-5,-1,-3,-2,6.3,0,0.0,0.0,0.0
573,Milenković,Defender,Nottm Forest,4.5,28,4.0,6,4.3,114.4,33.7,47.0,19.5,106,100,No news,,0.9,630,0,1,3,5,0.71,0,0,0,0,0,0,0,0,0,4,6,3,-2,5,0,-2,-1,-3,-2,4.3,1,0.0,0.14285714285714285,6.714285714285714
495,Pedro Porro,Defender,Spurs,5.5,28,3.5,2,2.7,206.2,248.9,91.0,54.7,130,100,No news,65.0,29.2,717,1,0,2,9,1.13,0,0,0,1,0,0,1,1,0,4,6,3,-2,5,0,-4,-1,-3,-2,3.2,1,0.12552301255230125,0.0,11.422594142259413
530,Souček,Midfielder,West Ham,5.0,28,3.5,1,4.3,140.0,110.0,152.0,40.0,96,100,No news,,2.8,517,2,1,1,11,1.91,0,0,0,3,0,0,4,0,0,1,5,3,-2,5,0,0,-1,-3,-2,4.3,3,0.3481624758220503,0.17408123791102514,26.46034816247582
145,Veltman,Defender,Brighton,4.5,28,4.0,7,2.7,98.6,50.8,13.0,16.3,114,100,No news,53.0,3.4,611,0,0,3,6,0.88,0,0,0,1,0,0,5,0,0,4,6,3,-2,5,0,-3,-1,-3,-2,2.7,0,0.0,0.0,1.9148936170212767
342,Bernardo,Midfielder,Man City,6.5,27,3.4,2,3.3,126.4,273.3,242.0,64.1,135,100,No news,,5.3,636,0,3,1,8,1.13,0,0,0,2,0,0,4,0,1,1,5,3,-2,5,0,0,-1,-3,-2,4.8,3,0.0,0.42452830188679247,34.24528301886792
64,Cook,Midfielder,Bournemouth,5.0,27,3.4,3,5.0,187.2,224.7,55.0,46.7,145,100,No news,,0.2,713,1,2,1,10,1.26,0,0,0,3,0,0,2,0,1,1,5,3,-2,5,0,0,-1,-3,-2,5.0,3,0.12622720897615708,0.25245441795231416,6.9424964936886395
89,Damsgaard,Midfielder,Brentford,5.0,27,3.4,5,6.0,167.0,201.0,73.0,44.2,134,100,No news,12.0,0.3,552,0,3,1,10,1.63,0,0,0,0,0,0,3,0,1,1,5,3,-2,5,0,0,-1,-3,-2,6.0,3,0.0,0.48913043478260865,11.902173913043477
593,De Ligt,Defender,Man Utd,5.0,27,3.4,2,1.3,151.8,28.3,143.0,32.5,102,100,No news,,4.8,489,1,0,2,8,1.47,0,0,0,1,0,0,3,0,0,4,6,3,-2,5,0,-4,-1,-3,-2,1.3,1,0.18404907975460122,0.0,26.319018404907975
